Definitions for parameters,Per,M,FDD-TDDDIFF,FR1-FR2DIFF
"maxNumberMIMO-LayersMulticastPDSCH-r17Defines the maximum number of spatial multiplexing layer(s) supported by the UE for multicast PDSCH. If not reported, UE supports 1 MIMO layer only for multicast PDSCH.A UE supporting this feature shall also indicate support of dynamicMulticastPCell-r17.NOTE:If the UE supports up to 8 layers, the UE supports second TB (TB2).",FSPC,No,N/A,N/A
"multiDCI-InterCellMultiTRP-TwoTA-r18Indicates whether the UE supports two TA enhancement for multi-DCI based inter-cell Multi-TRP operation by indicating the maximum number {1,2} of n-TimingAdvanceOffset value per serving cell.A UE supporting this feature shall also indicate support of mTRP-inter-Cell-r17 and tci-JointTCI-UpdateSingleActiveTCI-PerCC-PerCORESET-r18.NOTE:If a UE does not report maxNumberTAG-AcrossCC-r18, supportedNumberTAG is applied.",FSPC,No,N/A,N/A
"multiDCI-IntraCellMultiTRP-TwoTA-r18Indicates whether the UE supports two TA enhancement for multi-DCI based intra-cell Multi-TRP operation.A UE supporting this feature shall also indicate support of multiDCI-MultiTRP-r16.NOTE:If a UE does not report maxNumberTAG-AcrossCC-r18, supportedNumberTAG is applied.",FSPC,No,N/A,N/A
"multiDCI-MultiTRP-r16Indicates whether the UE supports multi-DCI based multi-TRP PDSCH/PUSCH operation and support of fully/partially overlapping PDSCHs in time and non-overlapping in frequency. This capability applies only to BWPs where two values of coresetPoolIndex are configured. The capability signalling contains the following:-maxNumberCORESET-r16 indicates maximum number of CORESETs configured per BWP per cell in addition to CORESET 0 for multi-DCI based multi-TRP PDSCH/PUSCH operation.-maxNumberCORESETPerPoolIndex-r16 indicates maximum number of CORESETs configured per coresetPoolIndex per BWP per cell in addition to CORESET 0 for multi-DCI based multi-TRP PDSCH/PUSCH operation.-maxNumberUnicastPDSCH-PerPool-r16 indicates maximum number of unicast PDSCHs per coresetPoolIndex per slot.NOTE 1:A UE may assume that its maximum receive timing difference between the DL transmissions from two TRPs is within a Cyclic Prefix.NOTE 2:Processing capability 2 is not supported in any CC if at least one CC is configured with two values of coresetPoolIndex.NOTE 3:If UE reports value N1 for maxNumberCORESET-r16, that means UE supports up to min (N1+1, 5) CORESETs in total (including CORESET#0) if there is CORESET#0, and supports maximal N1 CORESETs if there is no CORESET#0.NOTE 4:If UE reports value N2 for maxNumberCORESETPerPoolIndex-r16, that means UE supports up to min (N2+1, 3) CORESETs in total (including CORESET#0) for a TRP if there is CORESET#0, and supports maximal N2 CORESETs for another TRP if there is no CORESET#0.NOTE 5:For the multi-DCI based multi-TRP PUSCH operation, the maximum number of unicast PUSCHs that UE can support per slot is based on pusch-ProcessingType1-DifferentTB-PerSlot, and it is counted across both coresetPoolIndex of TRPs.",FSPC,No,N/A,N/A
multiDCI-MultiTRP-CORESET-Monitoring-r18Indicates whether the UE supports determining two QCL-TypeD for time-domain overlapping CORESETs in the same CC or for intra-band CA associated with coresetPoolIndex value 0 and 1.The UE supporting this feature shall also indicate support of multiDCI-MultiTRP-r16.,FSPC,No,N/A,FR2 only
rxTimingDiff-r18Indicates whether the UE supports the Rx timing difference between the two DL reference timings is larger than CP length.,FSPC,No,N/A,N/A
"schedulingMeasurementRelaxation-r18Indicates whether the UE supports simultaneous reception of CSI-RS for layer 1 measurement and PDSCH with different QCL Type-D on overlapping OFDM symbols and simultaneous layer 1 measurement of CSI-RS overlapping with another CSI-RS with different QCL Type-D on overlapping OFDM symbol(s).A UE supporting this feature shall also indicate support of simultaneousReceptionDiffTypeD-r16, mTRP-GroupBasedL1-RSRP-r17, and at least one of multiDCI-MultiTRP-r16, singleDCI-SDM-scheme-r16, supportFDM-SchemeA-r16 and supportFDM-SchemeB-r16.NOTE:It can be supported for PC3 only.",FSPC,No,TDD only,FR2-1 only
"sps-MulticastSCell-r17Indicates whether the UE supports one SPS group-common PDSCH configuration for multicast for SCell, comprised of the following functional components:-Supports one SPS group-common PDSCH configuration for multicast for SCell;-Supports {2, 4, 8} times semi-static slot-level repetition for SPS group-common PDSCH for SCell;-Supports group-common PDCCH/PDSCH with CRC scrambled by G-CS-RNTI(s) for multicast;-Supports DCI format 4_1 with CRC scrambled with G-CS-RNTI for multicast;-Supports ACK/NACK-based HARQ-ACK feedback for SPS release associated with G-CS-RNTI.A UE supporting this feature shall also indicate support of sps-Multicast-r17 and dynamicMulticastSCell-r17.",FSPC,No,N/A,N/A
sps-MulticastSCellMultiConfig-r17Indicates whether the UE supports up to 8 SPS group-common PDSCH configurations per CFR for multicast for SCell. The value indicates the maximum number of activated SPS group-common PDSCH configurations per CFR for multicast for SCell.The total number of SPS configurations for both multicast and unicast is no larger than 8 in a BWP of a serving cell. The total number of SPS configurations for both multicast and unicast in a cell group is no larger than 32.A UE supporting this feature shall also indicate support of sps-MulticastSCell-r17.,FSPC,No,N/A,N/A
support32-DL-HARQ-ProcessTN-r19Indicates whether the UE supports 32 HARQ processes in DL for TN in FR1 and FR2-1.,FSPC,No,N/A,N/A
"supportedBandwidthDL, supportedBandwidthDL-v1710, supportedBandwidthDL-v1780, supportedBandwidthDL-v1840, supportedBandwidthDL-v1900Indicates maximum DL channel bandwidth supported for a given SCS that UE supports within a single CC (and in case of DAPS handover for the source or target cell), which is defined in Table 5.3.5-1 in TS 38.101-1 [2] / TS 38.101-5 [34] for FR1 and Table 5.3.5-1 in TS 38.101-2 [3] / Table 5.3.5-2 in TS 38.101-5 [34] for FR2.For FR1, all the bandwidths listed in TS 38.101-1 [2] / TS 38.101-5 [34], Table 5.3.5-1 for each band shall be mandatory with a single CC unless indicated optional. For FR2 (except for FR2-NTN), the set of mandatory CBW is 50, 100, 200 MHz. For FR2-NTN, the set of mandatory CBW is 50, 100 MHz. When this field is included in a band combination with a single band entry and a single CC entry (i.e. non-CA band combination), the UE shall indicate the maximum channel bandwidth for the band according to TS 38.101-1 [2], TS 38.101-2 [3], and TS 38.101-5 [34]. For FR2, supportedBandwidthDL-v1710 is included if the maximum DL channel bandwidth supported by the UE within a single CC is greater than 400MHz. When the supportedBandwidthDL and the supportedBandwidthDL-v1710 are reported together for a CC, the network which is able to decode the supportedBandwidthDL-v1710 ignores the supportedBandwidthDL.When the supportedBandwidthDL and the supportedBandwidthDL-v1840 are reported together for a CC, the network which is able to decode the supportedBandwidthDL-v1840 ignores the supportedBandwidthDL.The UE may report a supportedBandwidthDL wider than the channelBWs-DL; this supportedBandwidthDL may not be included in the Table 5.3.5-1 of TS 38.101-1 [2] / TS 38.101-2[3] / TS 38.101-5 [34] and Table 5.3.5-2 of TS 38.101-5 [34] for the case that the UE is unable to report the actual supported bandwidth according to the Table 5.3.5-1 of TS 38.101-1 [2] / TS 38.101-2 [3] / TS 38.101-5 [34] and Table 5.3.5-2 of TS 38.101-5 [34]. For each band, (e)RedCap UEs shall indicate its maximum channel bandwidth, which is the maximum of those channel bandwidths that are less than or equal to 20 MHz for FR1 and less than or equal to 100 Mhz for FR2, taking restrictions in TS 38.101-1 [2] and TS 38.101-2 [3] into consideration.The supportedBandwidthDL-v1780 is only applicable to Bandwidth Combination Set 5 (BCS5) of FR1 NR CA (including NR CA part of (NG)EN-DC and NE-DC) and FR1 NR-DC. If the UE reports supportedAggBW-FR1-r17, the UE shall report supportedBandwidthDL-v1780.NOTE:See the note in the field decription of channelBWs-DL for the determination of supported DL channel bandwidth.",FSPC,CY,N/A,N/A
"supportedCRS-InterfMitigation-r17Indicates whether the UE supports CRS interference mitigation (CRS-IM) in both DSS and non-DSS scenarios with overlapping spectrum for LTE and NR, which is defined in TS 38.101-4 [18]. The capability signalling contains the following:-crs-IM-DSS-15kHzSCS-r17 indicates whether the UE supports neighbouring LTE cell CRS-IM in DSS scenario with NR 15 kHz SCS. UE can indicate support of this capability on the CC(s) in a band only if the UE indicates support of rateMatchingLTE-CRS on that band.-crs-IM-nonDSS-15kHzSCS-r17 indicates whether the UE supports neighbouring LTE cell CRS-IM in non-DSS and 15 kHz NR SCS scenario, without the assistance of network signalling on LTE channel bandwidth.-crs-IM-nonDSS-NWA-15kHzSCS-r17 indicates whether the UE supports neighbouring LTE cell CRS-IM in non-DSS and 15 kHz NR SCS scenario, with the assistance of network signalling on LTE channel bandwidth.-crs-IM-nonDSS-30kHzSCS-r17 indicates whether the UE supports neighbouring LTE cell CRS-IM in non-DSS and 30 kHz NR SCS scenario, without the assistance of network signalling on LTE channel bandwidth.-crs-IM-nonDSS-NWA-30kHzSCS-r17 indicates whether the UE supports neighbouring LTE cell CRS-IM in non-DSS and 30 kHz NR SCS scenario, with the assistance of network signalling on LTE channel bandwidth.For the UE supporting the capability of crs-IM-DSS-15kHzSCS-r17, the UE can perform CRS-IM without the assistant configuration information of neighbour LTE cells when RateMatchPatternLTE-CRS is configured for the serving cell, and if lte-NeighCellsCRS-Assumptions-r17 is not configured.For the UE supporting the capability of crs-IM-nonDSS-15kHzSCS-r17, the UE can perform CRS-IM without the assistant configuration information of neighbour LTE cells with 15 kHz SCS when RateMatchPatternLTE-CRS is not configured for the serving cell, and if MeasObjectEUTRA is configured, the configured measurement gaps overlap with neighbour LTE cell PBCH position and lte-NeighCellsCRS-Assumptions-r17 is not configured.For the UE supporting the capabilities of crs-IM-nonDSS-30kHzSCS-r17, the UE can perform CRS-IM without the assistant configuration information of neighbour LTE cells with 30 kHz SCS when RateMatchPatternLTE-CRS is not configured for the serving cell, and if MeasObjectEUTRA is configured, the configured measurement gaps overlap with neighbour LTE cell PBCH position and lte-NeighCellsCRS-Assumptions-r17 is not configured.NOTE 1:In the DSS scenario, serving and neighbouring cells are both operating with dynamic spectrum sharing (DSS) of NR and LTE.NOTE 2:In the non-DSS scenario, serving cell is operating in NR, and neighbouring cells are operating in LTE.",FSPC,No,No,FR1 only
"supportedMinBandwidthDL-r17, supportedMinBandwidthDL-v1840, supportedMinBandwidthDL-v1900Indicates minimum DL channel bandwidth supported for a given SCS that UE supports within a single CC (and in case of intra-frequency DAPS handover for the source and target cells), which is defined in Table 5.3.5-1 in TS 38.101-1 [2] for FR1 and Table 5.3.5-1 in TS 38.101-2 [3] for FR2. This parameter is only applicable to the Bandwidth Combination Set 5 (BCS5). The UE shall indicate this parameter for at least one CC of a BCS5 band combination. This field does not restrict the bandwidths configured for a single CC (i.e. non-CA case).",FSPC,CY,N/A,N/A
"supportedModulationOrderDLIndicates the maximum supported modulation order to be applied for downlink in the carrier in the max data rate calculation as defined in 4.1.2. If included, the network may use a modulation order on this serving cell which is higher than the value indicated in this field as long as UE supports the modulation of higher value for downlink. If not included:-for FR1, the network uses the modulation order signalled per band i.e. pdsch-1024QAM-FR1-r17 or pdsch-1024QAM-2MIMO-FR1-r17 when pdsch-1024QAM-FR1-r17 or pdsch-1024QAM-2MIMO-FR1-r17 is signalled for the band, otherwise the network uses the modulation order signalled in pdsch-256QAM-FR1. The network uses the modulation order 64QAM if pdsch-256QAM-FR1 is not signalled for the band for (e)RedCap UE, IAB-MT, or NCR-MT.-for FR2, the network uses the modulation order signalled per band i.e. pdsch-256QAM-FR2 if signalled. If not signalled in a given band, the network shall use the modulation order 64QAM.In all the cases, it shall be ensured that the data rate does not exceed the max data rate (DataRate) and max data rate per CC (DataRateCC) according to TS 38.214 [12].",FSPC,No,N/A,N/A
"supportedSubCarrierSpacingDLDefines the supported sub-carrier spacing for DL by the UE, as defined in clause 4.2-1 of TS 38.211 [6], indicating the UE supports simultaneous reception with same or different numerologies in CA. Support of simultaneous reception with same numerology for intra-band NR CA including both contiguous and non-contiguous is mandatory with capability in both FR1 and FR2. Support of simultaneous reception with two different numerologies between FR1 band(s) and FR2 band(s) in DL is mandatory with capability if UE supports inter-band NR CA including both FR1 band(s) and FR2 band(s). Optional for other cases. Support of simultaneous reception of with different numerologies in CA for other cases is optional.",FSPC,CY,N/A,N/A
supportFDM-SchemeB-r16Indicates whether UE supports single DCI based FDMSchemeB.,FSPC,No,N/A,N/A
