Definitions for parameters,Per,M,FDD-TDDDIFF,FR1-FR2DIFF
mTRP-PUSCH-TypeB-CB-r17Indicates the support of multi-TRP PUSCH repetition based on codebook with PUSCH repetition type B. The value indicates the number of SRS resources in one SRS resource set.This feature includes the following features:-sequential mapping for repetitions larger than 2.-cyclic mapping for 2 repetitions.-two SRS resource sets with usage set to 'codebook'.The UE indicating support of this feature shall also indicate the support of mimo-CB-PUSCH and pusch-RepetitionTypeB-r16.,FSPC,No,N/A,N/A
"nonCodebook-3TxPUSCH-SingleTRP-r19Indicates whether the UE supports non-codebook based PUSCH transmission for 3TX for single TRP. This capability signalling comprises the following parameters:-maxNumberLayer-r19 indicates the maximal number of supported layers of non-codebook transmission scheme.-maxNumberSRS-Resource-r19 indicates the maximum number of SRS resource per set, where SRS set use is configured as for non-codebook transmission.-maxNumberSimultaneousSRS-r19 indicates the maximum number of simultaneous transmitted SRS resources at one symbol.",FSPC,No,N/A,N/A
nonCodebook-8TxPUSCH-r18Indicates whether the UE supports basic features for Non-Codebook-based 8Tx PUSCH.This capability signalling comprises the following parameters:-maxNumberPUSCH-MIMO-Layer-r18 indicates the maximum number PUSCH MIMO layers for non-codebook based PUSCH;-maxNumberSRS-Resource-r18 indicates the maximum number of SRS resources per SRS resource set with usage set to 'nonCodebook';-maxNumberSimultaneousSRS-r18 indicates the maximum number of simultaneous transmitted SRS resources at one symbol.,FSPC,No,N/A,N/A
"nonCodebook-CSI-RS-SRS-r18Indicates whether the UE supports association between NZP-CSI-RS and SRS resource set via RRC parameter ""SRS-ResourceSet"" for noncodebook 8Tx PUSCH operation.A UE supporting this feature shall also indicate support of nonCodebook-8TxPUSCH-r18 and nonCodebook-CSI-RS-SRS-PerBC-r18.",FSPC,No,N/A,N/A
"pusch-CB-SingleDCI-STx2P-SDM-r18Indicates whether the UE supports 1) Dynamic switching by DCI 0_1/0_2 between single-DCI STx2P SDM and sTRP for PUSCH codebook; 2) 1 PTRS port for single-DCI based STx2P SDM scheme for PUSCH codebook. 3) Support of two SRS resource sets with usage set to 'codebook'. The feature also comprises following parameters:-maxNumberSRS-ResourcePerSet-r18 indicates the maximum number of SRS resources in one SRS resource set. If value 4 is reported, UE also reports value 4 in ul-FullPwrMode2-MaxSRS-ResInSet;-maxNumberLayerPerPanel-r18 indicates the maximum number of layers of each panel for Single-DCI STx2P with SDM;-maxNumberNZP-PUSCH-PortsPerSet-r18 indicates the max number of NZP PUSCH ports associated with one SRS resource set. If a row of the TPMI consists of all 0's, the corresponding PUSCH port is not counted;-maxNumberSRS-AntennaPortsPerSet-r18 indicates the maximum number of SRS antenna ports for each SRS resource in each SRS resource set.A UE indicating support of this feature shall also indicate support of mimo-CB-PUSCH.",FSPC,No,N/A,FR2 only
"pusch-CB-SingleDCI-STx2P-SFN-r18Indicates whether the UE supports 1) Dynamic switching by DCI 0_1/0_2 between single-DCI STx2P SFN and sTRP; 2) 1 PTRS port for single-DCI based STx2P SFN scheme for PUSCH codebook; 3) Support of two SRS resource sets with usage set to 'codebook'. The feature also comprises following parameters:-maxNumberSRS-ResourcePerSet-r18 indicates the maximum number of SRS resources in one SRS resource set. If value 4 is reported, UE also reports value 4 in ul-FullPwrMode2-MaxSRS-ResInSet;-maxNumberLayerPerSet-r18 indicates the maximum number of MIMO layers of each SRS resource set for CB PUSCH with SFN scheme;-maxNumberSRS-AntennaPortsPerSet-r18 indicates the maximum number of SRS antenna ports for each SRS resource in each SRS resource set;-maxNumberNZP-PUSCH-PortsPerSet-r18 indicates the max number of NZP PUSCH ports associated with one SRS resource set. If a row of the TPMI consists of all 0's, the corresponding PUSCH port is not counted.A UE indicating support of this feature shall also indicate support of mimo-CB-PUSCH.",FSPC,No,N/A,FR2 only
pusch-NonCB-SingleDCI-STx2P-SDM-r18Indicates whether the UE supports: 1) Dynamic switching by DCI 0_1/0_2 between single-DCI STx2P SDM and sTRP for PUSCH noncodebook; 2) 1 PTRS port for single-DCI based STx2P SDM scheme for PUSCH noncodebook; 3) Support of two SRS resource sets with usage set to 'noncodebook'. The feature also comprises following parameters:-maxNumberSRS-ResourcePerSet-r18 indicates the maximum number of SRS resources in one SRS resource set;-maxNumberLayerPerPanel-r18 indicates the maximum number of layers of each panel for Single-DCI STx2P with SDM;-maxNumberSimulSRS-OneResourcePerSet-r18 indicates the maximum number of simultaneous transmitted SRS resources from one SRS resource set in one symbol;-maxNumberSimulSRS-TwoResourcePerSet-r18 indicates the maximum number of simultaneous transmitted SRS resources from two SRS resource sets in one symbol.A UE indicating support of this feature shall also indicate support of maxNumberMIMO-LayersNonCB-PUSCH and mimo-NonCB-PUSCH.,FSPC,No,N/A,FR2 only
"pusch-NonCB-SingleDCI-STx2P-SFN-r18Indicates whether the UE supports: 1) Dynamic switching by DCI 0_1/0_2 between single-DCI STx2P SFN and sTRP, 2) 1 PTRS port for single-DCI based STx2P SFN scheme for PUSCH noncodebook, 3) Support of two SRS resource sets with usage set to 'noncodebook'. The feature also comprises following parameters:-maxNumberSRS-ResourcePerSet-r18 indicates the maximum number of SRS resources in one SRS resource set;-maxNumberLayerPerSet-r18 indicates the maximum number of MIMO layers of each SRS resource set for NCB PUSCH with SFN scheme;-maxNumberSimulSRS-OneResourcePerSet-r18 indicates the maximum number of simultaneous transmitted SRS resources from one SRS resource set in one symbol;-maxNumberSimulSRS-TwoResourcePerSet-r18 indicates the maximum number of simultaneous transmitted SRS resources from two SRS resource sets in one symbol.A UE indicating support of this feature shall also indicate support of maxNumberMIMO-LayersNonCB-PUSCH and mimo-NonCB-PUSCH.",FSPC,No,N/A,FR2 only
support32-UL-HARQ-ProcessTN-r19Indicates whether the UE supports 32 HARQ processes in UL for TN in FR1 and FR2-1.,FSPC,No,N/A,N/A
"supportedBandwidthUL, supportedBandwidthUL-v1710, supportedBandwidthUL-v1780, supportedBandwidthUL-v1840, supportedBandwidthUL-v1900Indicates maximum UL channel bandwidth supported for a given SCS that UE supports within a single CC (and in case of DAPS handover for the source or target cell), which is defined in Table 5.3.5-1 in TS 38.101-1 [2] / TS 38.101-5 [34] for FR1 and Table 5.3.5-1 in TS 38.101-2 [3] / Table 5.3.5-2 in TS 38.101-5 [34] for FR2.For FR1, all the bandwidths listed in TS 38.101-1 [2] / TS 38.101-5 [34], Table 5.3.5-1 for each band shall be mandatory with a single CC unless indicated optional. For FR2 (except for FR2-NTN), the set of mandatory CBW is 50, 100, 200 MHz. For FR2-NTN, the set of mandatory CBW is 50, 100 MHz. When this field is included in a band combination with a single band entry and a single CC entry (i.e. non-CA band combination), the UE shall indicate the maximum channel bandwidth for the band according to TS 38.101-1 [2], TS 38.101-2 [3], and TS 38.101-5 [34]. For FR2, supportedBandwidthUL-v1710 is included if the maximum UL channel bandwidth supported by the UE within a single CC is greater than 400MHz. When the supportedBandwidthUL and the supportedBandwidthUL-v1710 are reported together for a CC, the network which is able to decode the supportedBandwidthUL-v1710 ignores the supportedBandwidthUL.When the supportedBandwidthUL and the supportedBandwidthUL-v1840 are reported together for a CC, the network which is able to decode the supportedBandwidthUL-v1840 ignores the supportedBandwidthUL.The UE may report a supportedBandwidthUL wider than the channelBWs-UL; this supportedBandwidthUL may not be included in the Table 5.3.5-1 of TS 38.101-1 [2] / TS 38.101-2 [3] / TS 38.101-5 [34] and Table 5.3.5-2 of TS 38.101-5 [34], for the case that the UE is unable to report the actual supported bandwidth according to the Table 5.3.5-1 of TS 38.101-1 [2] / TS 38.101-2 [3] / TS 38.101-5 [34] and Table 5.3.5-2 of TS 38.101-5 [34]. For each band, (e)RedCap UEs shall indicate its maximum channel bandwidth, which is the maximum of those channel bandwidths that are less than or equal to 20 MHz for FR1 and less than or equal to 100 Mhz for FR2, taking restrictions in TS 38.101-1 [2] and TS 38.101-2 [3] into consideration.The supportedBandwidthUL-v1780 is only applicable to Bandwidth Combination Set 5 (BCS5) of FR1 NR CA (including NR CA part of (NG)EN-DC and NE-DC) and FR1 NR-DC. If the UE reports supportedAggBW-FR1-r17, the UE shall report supportedBandwidthUL-v1780.NOTE:See the note in the field decription of channelBWs-UL for the determination of supported UL channel bandwidth.",FSPC,CY,N/A,N/A
"supportedMinBandwidthUL-r17, supportedMinBandwidthUL-v1840, supportedMinBandwidthUL-v1900Indicates minimum UL channel bandwidth supported for a given SCS that UE supports within a single CC (and in case of intra-frequency DAPS handover for the source and target cells), which is defined in Table 5.3.5-1 in TS 38.101-1 [2] for FR1 and Table 5.3.5-1 in TS 38.101-2 [3] for FR2. This parameter is only applicable to the Bandwidth Combination Set 5 (BCS5). The UE shall indicate this parameter for at least one CC of a BCS5 band combination. This field does not restrict the bandwidths configured for a single CC (i.e. non-CA case).",FSPC,CY,N/A,N/A
"supportedModulationOrderULIndicates the maximum supported modulation order to be applied for uplink in the carrier in the max data rate calculation as defined in 4.1.2. If included, the network may use a modulation order on this serving cell which is higher than the value indicated in this field as long as UE supports the modulation of higher value for uplink. If not included,-for FR1 and FR2, the network uses the modulation order signalled per band i.e. pusch-256QAM if signalled. If not signalled in a given band, the network shall use the modulation order 64QAM.In all the cases, it shall be ensured that the data rate does not exceed the max data rate (DataRate) and max data rate per CC (DataRateCC) according to TS 38.214 [12].",FSPC,No,N/A,N/A
"supportedSubCarrierSpacingULDefines the supported sub-carrier spacing for UL by the UE, as defined in 4.2-1 of TS 38.211 [6], indicating the UE supports simultaneous transmission with same or different numerologies in CA, or indicating the UE supports different numerologies on NR UL and SUL within one cell. Support of simultaneous transmissions with same numerology for intra-band NR CA including both contiguous and non-contiguous is mandatory with capability in both FR1 and FR2. Support of simultaneous transmission with two different numerologies between FR1 band(s) and FR2 band(s) in UL is mandatory with capability if UE supports inter-band NR CA including both FR1 band(s) and FR2 band(s). Support of simultaneous transmission with different numerologies in CA for other cases is optional.",FSPC,CY,N/A,N/A
twoPUSCH-CB-MultiDCI-STx2P-AdditionalTime-r18Indicates whether the UE supports additional timeline to process multiple TBs for codebook multi-DCI based STx2P PUSCH+PUSCH for DG+DG.A UE supporting this feature shall also indicate support of twoPUSCH-CB-MultiDCI-STx2P-DG-DG-r18.NOTE:This feature can also be applied for CG+DG if UE can support twoPUSCH-CB-MultiDCI-STx2P-CG-DG-r18.,FSPC,No,N/A,FR2 only
"twoPUSCH-CB-MultiDCI-STx2P-DG-DG-r18Indicates whether the UE supports multi-DCI based STx2P PUSCH+PUSCH for codebook-based PUSCH with fully overlapping PUSCHs in time and non-overlapping in frequency and two SRS resource sets with usage set to 'codebook' associated with two coresetPoolIndex values.-maxNumberSRS-ResourcePerSet-r18 indicates the maximum number of SRS resources in one SRS resource set. If value n4 is reported, the UE also reports value n4 in ul-FullPwrMode2-MaxSRS-ResInSet-r16;-maxNumberLayerOverlapping-r18 indicates the maximum number of layers of each PUSCH of PUSCH+PUSCH overlapping in time domain;-maxNumberNZP-PUSCH-Overlapping-r18 indicates the maximum number of NZP PUSCH ports for each PUSCH of PUSCH+PUSCH overlapping in time domain. If a row of the TPMI consists of all 0’s, the corresponding PUSCH port is not counted;-maxNumberPUSCH-PerCORESET-PerSlot-r18 indicates the maximum number of PUSCHs per CORESETPoolIndex per slot;-maxNumberTotalLayerOverlapping-r18 indicates the maximum total number of layers across two overlapping PUSCH;-maxNumberSRS-AntennaPortsPerSet-r18 indicates the maximum number of SRS antenna ports for each SRS resource in each SRS resource set.A UE supporting this feature shall also indicate support of mimo-CB-PUSCH.NOTE:Processing support of two SRS resource sets with usage set to 'codebook' associated with two coresetPoolIndex values is not supported in any CC if at least one CC is configured with two values of CORESETPoolIndex.",FSPC,No,N/A,FR2 only
twoPUSCH-MultiDCI-STx2P-OutOfOrder-r18Indicates whether the UE supports out-of-order operation for multi-DCI based STx2P PUSCH+PUSCH.A UE supporting this feature shall also indicate support of twoPUSCH-CB-MultiDCI-STx2P-DG-DG-r18 or twoPUSCH-NonCB-MultiDCI-STx2P-DG-DG-r18.,FSPC,No,N/A,FR2 only
"twoPUSCH-MultiDCI-STx2P-TwoTA-r18Indicates whether the UE supports two TAs for multi-DCI STx2P PUSCH+PUSCH.A UE supporting this feature shall also indicate support of multiDCI-IntraCellMultiTRP-TwoTA-r18, multiDCI-InterCellMultiTRP-TwoTA-r18, twoPUSCH-CB-MultiDCI-STx2P-DG-DG-r18 or twoPUSCH-NonCB-MultiDCI-STx2P-DG-DG-r18.NOTE:A UE that supports this feature can transmit PUSCH in two consecutive slots using different TA without reducing the later slot.",FSPC,No,N/A,N/A
twoPUSCH-NonCB-MultiDCI-STx2P-AdditionalTime-r18Indicates whether the UE supports additional timeline to process multiple TBs for non-codebook multi-DCI based STx2P PUSCH+PUSCH for DG+DG.A UE supporting this feature shall also indicate support of twoPUSCH-NonCB-MultiDCI-STx2P-DG-DG-r18.NOTE:This feature can also be applied for CG+DG if UE can support twoPUSCH-NonCB-MultiDCI-STx2P-CG-DG-r18.,FSPC,No,N/A,FR2 only
twoPUSCH-NonCB-MultiDCI-STx2P-DG-DG-r18Indicates whether the UE supports multi-DCI based STx2P PUSCH+PUSCH for noncodebook-based PUSCH with fully overlapping PUSCHs in time and non-overlapping in frequency and two SRS resource sets with usage set to 'noncodebook' associated with two coresetPoolIndex values.-maxNumberSRS-ResourcePerSet-r18 indicates the maximum number of SRS resources in one SRS resource set;-maxNumberLayerOverlapping-r18 indicates the maximum number of layers of each PUSCH of PUSCH+PUSCH overlapping in time domain;-maxNumberSimulSRS-ResourcePerSet-r18 indicates the maximum number of simultaneously transmitted SRS resources in one symbol per SRS resource set;-maxNumberPUSCH-PerCORESET-PerSlot-r18 indicates the maximum number of PUSCHs per CORESETPoolIndex per slot;-maxNumberTotalLayerOverlapping-r18 indicates the maximum total number of layers across two overlapping PUSCH.A UE supporting this feature shall also indicate support of maxNumberMIMO-LayersNonCB-PUSCH and mimo-NonCB-PUSCH.NOTE:Processing support of two SRS resource sets with usage set to 'codebook' associated with two coresetPoolIndex values is not supported in any CC if at least one CC is configured with two values of CORESETPoolIndex.,FSPC,No,N/A,FR2 only
