Definitions for parameters,Per,M,FDD-TDDDIFF,FR1-FR2DIFF
maxNumberTRS-ResourceSet-r18Indicates the maximum number of TRS resource sets in a single CSI-RS resource setting.A UE supporting this feature shall also indicate support of tdcp-Report-r18.,FS,No,N/A,N/A
mTRP-PUCCH-IntraSlot-r17Indicates whether the UE supports PUCCH repetition scheme 3 (intra-slot repetition) with sequential mapping for repetitions larger than 2 and cyclic mapping for 2 repetitions by indicating the supported PUCCH formats for this scheme. The UE indicating this feature shall also support up to two PUCCH power control parameter sets/spatial relation info per PUCCH resource.Power control parameter sets feature is applicable to FR1 only (without spatial relation info) and spatial relation info is applicable to FR2 only.,FS,No,N/A,N/A
mTRP-PUSCH-TypeA-CB-r17Indicates the support of multi-TRP PUSCH repetition based on codebook with PUSCH repetition type A. The value indicates the supported number of SRS resources in one SRS resource set.This feature includes the following features:-sequential mapping for repetitions larger than 2.-cyclic mapping for 2 repetitions.-two SRS resource sets with usage set to 'codebook'.The UE indicating support of this feature shall also indicate the support of mimo-CB-PUSCH. If the value of supported number of SRS resources is 4 then the UE shall also indicate support of ul-FullPwrMode2-MaxSRS-ResInSet set to n4.,FS,No,N/A,N/A
mTRP-PUSCH-TypeA-CB-3Port-r19Indicates whether the UE supports codebook-based multi-TRP PUSCH repetition for 3-antenna-port PUSCH transmission with type A. The value indicates the supported number of SRS resources in one SRS resource set.This feature includes the following features:-sequential mapping for repetitions larger than 2.-cyclic mapping for 2 repetitions.-two SRS resource sets with usage set to 'codebook'.A UE supporting this feature shall also indicate support of codebook-3TxPUSCH-SingleTRP-r19.,FS,No,N/A,N/A
mTRP-PUSCH-RepetitionTypeA-r17Indicates whether the UE supports multi-TRP PUSCH repetition for non-codebook based PUSCH repetition type A with sequential mapping for repetitions larger than 2 and cyclic mapping for 2 repetitions by indicating the supported number of SRS resources in one SRS resource set. The UE indicating this feature shall also support two SRS resource sets with usage set to 'nonCodebook'.The UE indicating this feature shall indicate support of maxNumberMIMO-LayersNonCB-PUSCH and mimo-NonCB-PUSCH.,FS,No,N/A,N/A
mTRP-PUSCH-RepetitionTypeA-3Port-r19Indicates whether the UE supports non-codebook based multi-TRP PUSCH repetition for 3-antenna-port PUSCH transmission with type A with sequential mapping for repetitions larger than 2 and cyclic mapping for 2 repetitions by indicating the supported number of SRS resources in one SRS resource set. The UE indicating this feature shall also support two SRS resource sets with usage set to 'nonCodebook'.The UE indicating this feature shall also indicate support of nonCodebook-3TxPUSCH-SingleTRP-r19.,FS,No,N/A,N/A
"multiPUCCH-r16Indicates whether the UE supports more than one PUCCH for HARQ-ACK transmission within a slot. This field includes the following parameters:-sub-SlotConfig-NCP-r16 indicates the sub-slot configuration for NCP;-sub-SlotConfig-ECP-r16 indicates the sub-slot configuration for ECP.For NCP, the value set1 denotes 7-symbol*2, and set2 denotes 2-symbol*7 and 7-symbol*2.For ECP, the value set1 denotes 6-symbol*2, and set2 denotes 2-symbol*6 and 6-symbol*2.",FS,No,N/A,N/A
mux-SR-HARQ-ACK-r16Indicates whether the UE supports SR/HARQ-ACK multiplexing once per subslot using a PUCCH (or HARQ-ACK piggybacked on a PUSCH) when SR/HARQ-ACK are supposed to be sent with different starting symbols in a subslot.,FS,No,N/A,N/A
"nonCodebook-CSI-RS-SRS-Enh-r19Indicates whether the UE supports association between {48, 64, 128} CSI-RS ports and SRS resource set for non-codebook-based PUSCH.A UE supporting this feature shall also indicate support of maxNumberMIMO-LayersNonCB-PUSCH, mimo-NonCB-PUSCH and nonCodebook-CSI-RS-SRS-PerBC-Enh-r19.",FS,No,N/A,N/A
offsetSRS-CB-PUSCH-Ant-Switch-fr1-r16Indicates whether UE requires minimum of 19 symbols offset between aperiodic SRS triggering and transmission for SRS for codebook based PUSCH and antenna switching.UE indicating support of this shall indicate support of supportedSRS-Resources.,FS,No,N/A,FR1 only
offsetSRS-CB-PUSCH-PDCCH-MonitorSingleOcc-fr1-r16Indicates whether UE requires minimum of 19 symbols offset between aperiodic SRS triggering and transmission for SRS for codebook based PUSCH and antenna switching for the case of PDCCH monitoring on any span of up to 3 consecutive OFDM symbols of a slot.UE indicating support of this shall indicate support of supportedSRS-Resources.,FS,No,N/A,FR1 only
"offsetSRS-CB-PUSCH-PDCCH-MonitorAnyOccWithoutGap-fr1-r16Indicates whether UE requires minimum of 19 symbols offset between aperiodic SRS triggering and transmission for the case of PDCCH search space monitoring occasions in any symbol of the slot for Type 1-PDCCH common search space configured by dedicated RRC signalling, for a Type 3-PDCCH common search space, or for a UE-specific search space with the capability of supporting at least 44, 36, 22, and 20 blind decodes in a slot for 15 kHz, 30 kHz, 60kHz, and 120 kHz subcarrier spacing values respectively.UE indicating support of this shall indicate support of supportedSRS-Resources.",FS,No,N/A,FR1 only
"offsetSRS-CB-PUSCH-PDCCH-MonitorAnyOccWithGap-fr1-r16Indicates whether UE requires minimum of 19 symbols offset between aperiodic SRS triggering and transmission for SRS for codebook based PUSCH and antenna switching for the case of PDCCH search space monitoring occasions in any symbol of the slot with minimum time separation of two OFDM symbols for 15 kHz, four OFDM symbols for 30 kHz, seven OFDM symbols for 60 kHz with NCP, and 14OFDM symbols for 120kHz between two consecutive transmissions of PDCCH scrambled with C-RNTI, MCS-C-RNTI, or CS-RNTI for Type 1-PDCCH common search space configured by dedicated RRC signalling, for a Type 3-PDCCH common search space, or for a UE-specific search space, with the capability of supporting at least 44, 36, 22, and 20 blind decodes in a slot for 15 kHz, 30 kHz, 60kHz, and 120 kHz subcarrier spacing values respectively.UE indicating support of this shall indicate support of pdcch-MonitoringAnyOccasions with value withDCI-Gap and supportedSRS-Resources.",FS,No,N/A,FR1 only
"offsetSRS-CB-PUSCH-PDCCH-MonitorAnyOccWithSpanGap-fr1-r16Indicates whether UE requires minimum of 19 symbols offset between aperiodic SRS triggering and transmission for the case of PDCCH search space monitoring occasions in any symbol of the slot with minimum time separation between two consecutive transmissions of PDCCH with span up to two OFDM symbols for two OFDM symbols or span up to three OFDM symbols for four and seven OFDM symbols. Value set1 indicates the supported value set (X,Y) is (7,3), value set2 indicates the supported value set (X,Y) is (4,3) and (7,3) and value set 3 indicates the supported value set (X,Y) is (2,2), (4,3) and (7,3).UE indicating support of this shall indicate support of supportedSRS-Resources.",FS,No,N/A,FR1 only
"pa-PhaseDiscontinuityImpactsIndicates incapability motivated by impacts of PA phase discontinuity with overlapping transmissions with non-aligned starting or ending times or hop boundaries across carriers for intra-band (NG)EN-DC/NE-DC, intra-band CA and FDM based ULSUP.This capability applies to:-Intra-band (NG)EN-DC/NE-DC combination without additional inter-band NR and LTE CA component;-Intra-band (NG)EN-DC/NE-DC combination supporting both UL and DL intra-band (NG)EN-DC/NE-DC parts with additional inter-band NR/LTE CA component;-Inter-band (NG)EN-DC/NE-DC combination, where the frequency range of the E-UTRA band is a subset of the frequency range of the NR band (as specified in Table 5.5B.4.1-1 of TS 38.101-3 [4]).If this capability is included in an ""Intra-band (NG)EN-DC/NE-DC combination supporting both UL and DL intra-band (NG)EN-DC/NE-DC parts with additional inter-band NR/LTE CA component"", this capability applies to the intra-band (NG)EN-DC/NE-DC BC part.",FS,No,N/A,N/A
"partialCancellationPUCCH-PUSCH-PRACH-TX-r16Indicates whether UE supports the partial cancellation of the configured PUCCH or PUSCH or PRACH transmission in set of symbols of a slot due to:-Detection of a DCI format 2_0 with a slot format value other than 255 that indicates a slot format with a subset of symbols from the set of symbols as downlink or flexible;-DCI format 2_0 being configured but not detected, when either a subset of symbols from the set of symbols are indicated as flexible by tdd-UL-DL-ConfigurationCommon, and tdd-UL-DL-ConfigurationDedicated if provided, or tdd-UL-DL-ConfigurationCommon and tdd-UL-DL-ConfigurationDedicated are not provided to the UE;-Detection of a DCI format 1_0, DCI format 1_1, DCI format 1_2 or DCI format 0_1 and DCI format 0_2 indicating to the UE to receive CSI-RS or PDSCH in a subset of symbols from the set of symbols.",FS,No,N/A,N/A
phaseReportMoreThanOne-r18Indicates whether the UE supports phase report for Y>=1.A UE supporting this feature shall also indicate support of tdcp-Report-r18.,FS,No,N/A,N/A
"phy-PrioritizationHighPriorityDG-LowPriorityCG-r17Indicates whether the UE supports PHY prioritization of overlapping high-priority DG-PUSCH and low-priority CG-PUSCH comprised of the following functional components:-PHY prioritization of overlapping high-priority dynamic grant PUSCH and low-priority configured grant PUSCH on a BWP of a serving cell;-Configuration of PHY priority level for CG PUSCH, and dynamic indication of priority level for dynamic PUSCH with a single DCI format.The capability signalling comprises the following parameters:-pusch-PreparationLowPriority-r17 indicates additional number of symbols (d1) needed beyond the PUSCH preparation time for cancelling a low priority UL transmission;-additionalCancellationTime-r17 indicates additional number of symbols (d3) needed on top of Rel-16 cancellation time (which results N2+d1+d3 in total cancellation time);-maxNumberCarriers-r17 indicates maximum number of supported carriers on the band across a set of contiguous carriers for the reported FS of that band.The value sym0 denotes 0 symbol, sym1 denotes one symbol, and so on.",FS,No,N/A,N/A
"phy-PrioritizationLowPriorityDG-HighPriorityCG-r17Indicates whether the UE supports PHY prioritization of overlapping low-priority DG-PUSCH and high-priority CG-PUSCH comprised of the following functional components:-PHY prioritization for the case where low-priority DG-PUSCH collides with high-priority CG-PUSCH;-Configuration of PHY priority level for CG PUSCH, and dynamic indication of priority level for dynamic PUSCH with a single DCI format.The value indicates maximum number of supported carriers on the band across a set of contiguous carriers for the reported FS of that band.",FS,No,N/A,N/A
"posSRS-BWA-AffectedBandList-r18Indicates which other bands in the band combination are affected due to the need of a guard period.UE indicating support of this shall indicate support one of posSRS-BWA-IndependentCA-RRC-Connected-r18 and posSRS-BWA-RRC-Inactive-r18.NOTE 1:Guard period is needed before and after the aggregated SRS transmissions when SRS resource is configured within a CC without PUSCH/PUCCH is linked for aggregation with an SRS resource configured within an UL active BWP of a UL communication CC.NOTE 2:UE may indicate no other bands in the band combination are affected by the SRS switch, in which case, only the band with the aggregated SRS transmissions is affected.",FS,No,N/A,N/A
"posSRS-BWA-IndependentCA-RRC-Connected-r18Indicates whether the UE supports positioning SRS bandwidth aggregation independent from UL communication CA in RRC_CONNECTED and the support of the same SRS power reduction across aggregated carriers. The capability signalling comprises the following parameters:-numOfCarriersIntraBandContiguous-r18 indicates the number of supported aggregated carriers in intra band contiguous carriers, which is supported and reported by UE.-maximumAggregatedBW-TwoCarriersFR1-r18 indicates the maximum aggregated SRS bandwidth in MHz for two aggregated carriers for FR1, which is supported and reported by UE.-maximumAggregatedBW-TwoCarriersFR2-r18 indicates the maximum aggregated SRS bandwidth in MHz for two aggregated carriers for FR2, which is supported and reported by UE.-maximumAggregatedBW-ThreeCarriersFR1-r18 indicates the maximum aggregated SRS bandwidth in MHz for three aggregated carriers for FR1, which is supported and reported by UE.-maximumAggregatedBW-ThreeCarriersFR2-r18 indicates the maximum aggregated SRS bandwidth in MHz for three aggregated carriers for FR2, which is supported and reported by UE.-maximumAggregatedResourceSet-r18 indicates the max number of aggregated SRS resource sets for positioning supported by UE for SRS bandwidth aggregation, which is supported and reported by UE.-maximumAggregatedResourcePeriodic-r18 indicates the maximum number of aggregated periodic SRS resources for bandwidth aggregation, which is supported and reported by UE.-maximumAggregatedResourceAperiodic-r18 indicates the maximum number of aggregated aperiodic SRS resources for bandwidth aggregation, which is supported and reported by UE.-maximumAggregatedResourceSemi-r18 indicates the maximum number of aggregated semi-persistent SRS resources for bandwidth aggregation, which is supported and reported by UE.-maximumAggregatedResourcePeriodicPerSlot-r18 indicates the maximum number of aggregated periodic SRS resources for bandwidth aggregation per slot, which is supported and reported by UE.-maximumAggregatedResourceAperiodicPerSlot-r18 indicates the maximum number of aggregated aperiodic SRS resources for bandwidth aggregation per slot, which is supported and reported by UE.-maximumAggregatedResourceSemiPerSlot-r18 indicates the maximum number of aggregated semi-persistent SRS resources for bandwidth aggregation per slot, which is supported and reported by UE.-guardPeriod-r18 indicates the guard period in microseconds before and after aggregated SRS transmission.-powerClassForTwoAggregatedCarriers-r18 indicates the power class of supported two aggregated carriers in intra band contiguous carriers.-powerClassForThreeAggregatedCarriers-r18 indicates the power class of supported three aggregated carriers in intra band contiguous carriers.UE indicating support of this feature shall indicate the support of SRS-AllPosResources-r16.NOTE 1:The UE supports the simultaneous transmission in a coherent manner of 2 or 3 SRS resources in 2 or 3 intra-band contiguous CCs.NOTE 2:Each two or three linked SRS resources are counted as 1 resourceNOTE 3:Void.NOTE 4:Guard period is needed before and after the aggregated SRS transmissions when SRS resource is configured within a CC without PUSCH/PUCCH is linked for aggregation with an SRS resource configured within an UL active BWP of a UL communication CC.NOTE 5:For a given band, independent of the band combination, the UE must signal the same guard period.NOTE 6:The power class is only applicable for FR1 bands.",FS,No,N/A,N/A
"posSRS-BWA-RRC-Connected-r18Indicates whether the UE supports positioning SRS bandwidth aggregation in RRC_CONNECTED and the support of the same SRS power reduction across aggregated carriers. The capability signalling comprises the following parameters:-numOfCarriersIntraBandContiguous-r18 indicates the number of supported aggregated carriers in intra band contiguous carriers, which is supported and reported by UE.-maximumAggregatedBW-TwoCarriers-FR1-r18 indicates the maximum aggregated SRS bandwidth in MHz for two aggregated carriers for FR1, which is supported and reported by UE.-maximumAggregatedBW-TwoCarriers-FR2-r18 indicates the maximum aggregated SRS bandwidth in MHz for two aggregated carriers for FR2, which is supported and reported by UE.-maximumAggregatedBW-ThreeCarriers-FR1-r18 indicates the maximum aggregated SRS bandwidth in MHz for three aggregated carriers for FR1, which is supported and reported by UE.-maximumAggregatedBW-ThreeCarriers-FR2-r18 indicates the maximum aggregated SRS bandwidth in MHz for three aggregated carriers for FR2, which is supported and reported by UE.-maximumAggregatedResourceSet-r18 indicates the max number of aggregated SRS resource sets for positioning supported by UE for SRS bandwidth aggregation, which is supported and reported by UE.-maximumAggregatedResourcePeriodic-r18 indicates the maximum number of aggregated periodic SRS resources for bandwidth aggregation, which is supported and reported by UE.-maximumAggregatedResourceAperiodic-r18 indicates the maximum number of aggregated aperiodic SRS resources for bandwidth aggregation, which is supported and reported by UE.-maximumAggregatedResourceSemi-r18 indicates the maximum number of aggregated semi-persistent SRS resources for bandwidth aggregation, which is supported and reported by UE.-maximumAggregatedResourcePeriodicPerSlot-r18 indicates the maximum number of aggregated periodic SRS resources for bandwidth aggregation per slot, which is supported and reported by UE.-maximumAggregatedResourceAperiodicPerSlot-r18 indicates the maximum number of aggregated aperiodic SRS resources for bandwidth aggregation per slot, which is supported and reported by UE.-maximumAggregatedResourceSemiPerSlot-r18 indicates the maximum number of aggregated semi-persistent SRS resources for bandwidth aggregation per slot, which is supported and reported by UE.UE indicating support of this feature shall indicate the support of SRS-AllPosResources-r16 and supportedBandCombinationList.NOTE 1:The UE supports the simultaneous transmission in a coherent manner of 2 or 3 SRS resources in 2 or 3 intra-band contiguous CCs.NOTE 2:Each two or three linked SRS resources are counted as 1 resourceNOTE 3:A UE that supports SRS-PosResourceAP-r16 must signal a non-zero value for maximumAggregatedResourceAperiodic-r18 and maximumAggregatedResourceAperiodicPerSlot-r18;NOTE 4:Void.NOTE 5:For numOfCarriersIntraBandContiguous-r18, it shall be less than or equal to the maximum number of the component carrier associated with ca-BandwidthClassUL-NR in TS 38.331 [9].NOTE 6:For maximum aggregated UL SRS bandwidth, it shall be less than or equal to the maximum aggregated transmission bandwidth associated with ca-BandwidthClassUL-NR in TS 38.331 [9]. Additionally, it shall be less than or equal to the maximum aggregated bandwidth for the supported CA configuration in Table 5.5A.1-1 in TS 38.101-1 [2] for FR1 bands or Table 5.5A.1-1 in TS 38.101-2 [3] for FR2 bands for the band where aggregated SRS CCs is configured.",FS,No,N/A,N/A
"powerBoosting-pi2BPSK-QPSK-r18Indicates whether the UE supports power boosting for DFT-s-OFDM pi/2 BPSK and QPSK without modified spectrum flatness requirement for PC3 and PC2 MPR reduction, when applicable as defined in 6.2 of TS 38.101-1 [2]. The power boosting is only enabled when signalled via powerBoostPi2BPSK-r18 for BPSK and powerBoostQPSK-r18 for QPSK.A UE supporting this feature shall also indicate the support of pusch-HalfPi-BPSK and pucch-F3-4-HalfPi-BPSK.This capability can be supported in any or all scenarios below:-Case 1: FR1 single band with single uplink CC configured in the band where power boosting capability is indicated in this band.-Case 2: FR1 DL CA with a single uplink CC configured in a band where power boosting capability is indicated. The power boosting feature can be configured in this FR1 NR band.-Case 3: FR1 inter-band UL CA/DC, where a single CC is configured in the uplink bands where power boosting capability is indicated. The power boosting feature can be configured only in one of the bands where capability is indicated.-Case 4: FR1+FR2 UL CA, FR1+FR2 DC, where a single CC is configured in the uplink bands where power boosting capability is indicated. The power boosting feature can be configured in the FR1 NR band.",FS,No,N/A,FR1 only
"powerBoosting-pi2BPSK-QPSK-Modified-r18Indicates whether the UE supports power boosting for DFT-s-OFDM pi/2 BPSK and QPSK with modified spectrum flatness requirement for PC3 and PC2 MPR reduction, when applicable as defined in 6.2 of TS 38.101-1 [2]. The power boosting is only enabled when signalled via powerBoostPi2BPSK-r18 for BPSK and powerBoostQPSK-r18 for QPSK.A UE supporting this feature shall also indicate the support of pusch-HalfPi-BPSK and pucch-F3-4-HalfPi-BPSK.This capability can be supported in any or all scenarios below:-Case 1: FR1 single band with single uplink CC configured in the band where power boosting capability is indicated in this band.-Case 2: FR1 DL CA with a single uplink CC configured in a band where power boosting capability is indicated. The power boosting feature can be configured in this FR1 NR band.-Case 3: FR1 inter-band UL CA/DC, where a single CC is configured in the uplink bands where power boosting capability is indicated. The power boosting feature can be configured only in one of the bands where capability is indicated.-Case 4: FR1+FR2 UL CA, FR1+FR2 DC, where a single CC is configured in the uplink bands where power boosting capability is indicated. The power boosting feature can be configured in the FR1 NR band.",FS,No,N/A,FR1 only
"pucch-Repetition-F0-1-2-3-4-DynamicIndication-r17Indicates whether the UE supports repetitions for PUCCH format 0, 1, 2, 3 and 4 over multiple PUCCH subslots based on dynamic repetition indication.The UE indicating support of this feature shall also indicate the support of pucch-Repetition-F0-1-2-3-4-RRC-Config-r17.NOTE:Dynamic PUCCH repetition factor indication is only supported for HARQ-ACK.",FS,No,N/A,N/A
"pucch-Repetition-F0-1-2-3-4-RRC-Config-r17Indicates whether the UE supports repetitions for PUCCH format 0, 1, 2, 3 and 4 over multiple PUCCH subslots with RRC configured repetition factor K = 2, 4, 8.A UE supporting this feature shall also indicate support of pucch-Repetition-F1-3-4 and multiPUCCH-r16.NOTE:The support of this feature does not imply an increase of the maximum number of PUCCHs per slot that is supported by the UE.",FS,No,N/A,N/A
pucch-SingleDCI-STx2P-SFN-r18Indicates whether the UE supports single-DCI based STx2P SFN scheme for PUCCH and the supported PUCCH formats for STx2P SFN scheme.,FS,No,N/A,FR2 only
pusch-DMRS8Tx-r18Indicates whether the UE supports DMRS port configuration for PUSCH with 8Tx for Rel-15 and Rel-18. Value rel15 indicates the UE supports Rel-15 DMRS. Value both indicates the UE supports Rel-15 DMRS and Rel-18 DMRS.NOTE:A UE supporting 8Tx must support this feature.,FS,CY,N/A,N/A
"pusch-DMRS-TypeEnh-r18Indicates the DMRS type for Rel-18 enhanced DMRS ports for PUSCH. This capability signalling comprises the following parameters:-dmrs-Type-r18 indicates the DMRS type for Rel-18 enhanced DMRS ports for PUSCH. Value etype1 indicates the UE supports eType1 DMRS type. Value both indicates the UE supports both eType1 and eType2 DMRS type.-pusch-TypeA-DMRS-r18 comprises of the following parameters:-dmrs-TypeA-r18 indicates whether the UE supports enhanced DMRS ports for PUSCH for scheduling mapping of type A for enhanced DMRS ports, including support of 1 symbol FL DMRS without additional symbol(s), support of 1 symbol FL DMRS and 1 additional DMRS symbols and support of 1 symbol FL DMRS and 2 additional DMRS symbols for one port.-pusch-2SymbolFL-DMRS-r18 indicates whether the UE supports 2 symbols FL-DMRS for enhanced DMRS ports for PUSCH.-pusch-2SymbolFL-DMRS-Addition2Symbol-r18 indicates whether the UE supports 2-symbol FL DMRS + one additional 2-symbols DMRS for enhanced DMRS ports for PUSCH.-pusch-1SymbolFL-DMRS-Addition3Symbol-r18 indicates whether the UE supports 1 symbol FL DMRS and 3 additional DMRS symbols for enhanced DMRS ports for PUSCH.-pusch-1SymbolFL-DMRS-BeyondOnePort-r18 indicates whether the UE supports 1 symbol FL DMRS and 2 additional DMRS symbols for more than one port for enhanced DMRS ports for PUSCH.NOTE:Void-pusch-TypeB-DMRS-r18 indicates whether the UE supports basic feature of Rel-18 enhanced DMRS ports for PUSCH for scheduling mapping of type B for Rel-18 enhanced DMRS ports, including support of 1 symbol FL DMRS without additional symbol(s) and support of 1 symbol FL DMRS and 1 additional DMRS symbol.-pusch-rank-1-4-1Port-r18 indicates whether the UE supports 1 port UL PTRS for Rel-18 enhanced DMRS ports for PUSCH with rank 1-4. A UE supporting this feature shall indicate support of at least one of dmrs-TypeA-r18 and pusch-TypeB-DMRS-r18.-pusch-rank-5-8-1Port-r18 indicates whether the UE supports 1 port UL PTRS for Rel-18 enhanced DMRS ports for PUSCH with rank 5-8. A UE supporting this feature shall indicate support of at least one of dmrs-TypeA-r18 and pusch-TypeB-DMRS-r18.-pusch-rank-1-4-2Port-r18 indicates whether the UE supports 2 port UL PTRS for Rel-18 enhanced DMRS ports for PUSCH with rank 1-4. A UE supporting this feature shall indicate support of at least one of dmrs-TypeA-r18 and pusch-TypeB-DMRS-r18.-pusch-rank-5-8-2Port-r18 indicates whether the UE supports 2 port UL PTRS for Rel-18 enhanced DMRS ports for PUSCH with rank 5-8. A UE supporting this feature shall indicate support of at least one of dmrs-TypeA-r18 and pusch-TypeB-DMRS-r18.",FS,CY,N/A,N/A
"pusch-ProcessingType1-DifferentTB-PerSlotIndicates whether the UE capable of processing time capability 1 supports transmission of up to two, four or seven unicast PUSCHs for several transport blocks in one serving cell within the same slot per CC that are multiplexed in time domain only.",FS,No,N/A,N/A
"pusch-ProcessingType2Indicates whether the UE supports PUSCH processing capability 2. The UE supports it only if all serving cells are self-scheduled and if all serving cells in one band on which the network configured processingType2 use the same subcarrier spacing. This capability signalling comprises the following parameters for each sub-carrier spacing supported by the UE.-fallback indicates whether the UE supports PUSCH processing capability 2 when the number of configured carriers is larger than numberOfCarriers for a reported value of differentTB-PerSlot. If fallback = 'sc', UE supports capability 2 processing time on lowest cell index among the configured carriers in the band where the value is reported, if fallback = 'cap1-only', UE supports only capability 1, in the band where the value is reported;-differentTB-PerSlot indicates whether the UE supports processing type 2 for 1, 2, 4 and/or 7 unicast PUSCHs for different transport blocks per slot per CC; and if so, it indicates up to which number of CA serving cells the UE supports that number of unicast PUSCHs for different TBs. The UE shall include at least one of numberOfCarriers for 1, 2, 4 or 7 transport blocks per slot in this field if pusch-ProcessingType2 is indicated.",FS,No,N/A,FR1 only
