Definitions for parameters,Per,M,FDD-TDDDIFF,FR1-FR2DIFF
rx-IUC-Scheme1-SCI-ExplicitReq-r17Indicates whether UE can receive an explicit request for inter-UE coordination information of both preferred resource set and non-preferred resource set over 2nd SCI that is used in addition to the MAC-CE carrying the explicit request in the same transmission. UE indicating support of this feature shall indicate support of tx-IUC-Scheme1-Mode2Sidelink-r17.NOTE:Configuration by NR Uu is not required to be supported in a band indicated with only the PC5 interface in TS 38.101-1 [2] Table 5.2E.1-1.,Band,No,N/A,N/A
rx-IUC-Scheme1-SCI-r17Indicates whether UE can receive Scheme 1 inter-UE coordination transmission over 2nd SCI that is used in addition to the MAC-CE carrying the same inter-UE coordination information in the same transmission.UE indicating support of this feature shall indicate support of at least one of rx-IUC-Scheme1-Preferred-Mode2Sidelink-r17 and rx-IUC-Scheme1-NonPreferred-Mode2Sidelink-r17.NOTE:Configuration by NR Uu is not required to be supported in a band indicated with only the PC5 interface in TS 38.101-1 [2] Table 5.2E.1-1.,Band,No,N/A,N/A
"rx-IUC-Scheme2-Mode2Sidelink-r17Indicates whether UE supports reception of inter-UE coordination scheme 2 for NR sidelink for mode 2. If supported, this parameter indicates the support of the capabilities and includes the parameters as follows:-UE can receive inter-UE coordination information of presence of expected/potential resource conflict and use the received information in its own resource re-selection in NR sidelink mode 2.-UE indicates the number of PSFCH(s) resources that the UE can receive in a slot. Value n5 corresponds to 5, n15 corresponds to 15, and so on.UE supporting this feature shall support receiving NR sidelink of S-SSB or indicate support of sync-Sidelink-r16 or sync-Sidelink-v1710.NOTE 1:If UE reports more than one capability of psfch-FormatZeroSidelink-r16, rx-sidelinkPSFCH-r17 and rx-IUC-Scheme1-PreferredMode2Sidelink-r17, the reported value of the number of PSFCH(s) resources in each capability is the total number and the same among those capabilities.NOTE 2:Configuration by NR Uu is not required to be supported in a band indicated with only the PC5 interface in TS 38.101-1 [2] Table 5.2E.1-1.",Band,No,N/A,N/A
scheme2-ConflictDeterminationRSRP-r17Indicates whether UE can determine a conflict for overlapping resource reservation between UE-B and another UE based on RSRP difference of the two reservations.UE indicating support of this feature shall indicate support of tx-IUC-Scheme2-Mode2Sidelink-r17.NOTE:Configuration by NR Uu is not required to be supported in a band indicated with only the PC5 interface in TS 38.101-1 [2] Table 5.2E.1-1.,Band,No,N/A,N/A
"sl-CA-Communication-r18Indicates whether the UE supports NR SL communication with SL CA. This capability signalling comprises the following parameters:-numberOfCarriers-r18 indicates the number of SL carries that a UE supports for transmitting/receiving PSCCH/PSSCH/PSFCH simultaneously. The maximum number of simultaneous PSCCH/PSSCH TX equal to numberOfCarriers-r18, 1 TX per carrier;-numberOfPSCCH-DecodeValueZ-r18 indicates the number of value Z for PSCCH decoding. The UE can receive Z* floor (NRB,i /10 RBs) PSCCH in a slot on ith carrier of the carriers.-totalBandwidth-r18 indicates the total bandwidth that a UE can aggregate.For the number of non-overlapped PRBs over aggregated SL carriers, the UE can attempt to decode NRB,i non-overlapping RBs in a slot on ith carrier of the carriers. NRB,i is the number of RBs defined per channel bandwidth of ith carrier in TS 38.101-1 [2] Table 5.3.2-1 for FR1. The UE can adjust the transmission power of the PSCCH/PSSCH/PSFCH across aggregated carriers such that its total transmission power does not exceed the maximum transmission power.A UE supporting this feature shall also indicate support of sl-TransmissionMode2-r16 and psfch-FormatZeroSidelink-r16.NOTE:This feature is supported only in a band indicated with the PC5 interface in TS 38.101-1 [2] Table 5.2E.1A-1 for FR1.",Band,No,N/A,N/A
sl-CA-PSFCH-r18Indicates whether the UE supports PSFCH for SL CA. This capability comprises the following parameters:-rx-PSFCH-Resource-r18 indicates the number of PSFCH resources that a UE supports to receive in a slot over all aggregated SL carriers. A UE is capable of receiving at least one PSFCH resource on each of the aggregated carriers in a slot. It is up to UE implementation which PSFCH(s) to receive;-tx-PSFCH-Resource-r18 indicates the number of PSFCH resources that a UE supports to transmit in a slot over all aggregated SL carriers according to PSFCH procedures. A UE is capable of transmitting at least one PSFCH resource on each of the aggregated carriers.A UE supporting this feature shall also indicate support of sl-CA-Communication-r18.,Band,No,N/A,N/A
sl-CA-Synchronization-r18Indicates whether the UE supports transmitting S-SSB on one selected or all candidate synchronization carriers with the same sync reference from Set-B and receiving S-SSB from all candidate synchronization carriers with the same sync reference from Set-B. The UE can adjust the transmission power of the S-SSB across aggregated carriers such that its total transmission power does not exceed the maximum transmission power.A UE supporting this feature shall also indicate support of sl-CA-Communication-r18 and sync-Sidelink-r16.NOTE 1:Option of UE selection of one selected SL synchronization carrier with the same sync reference from Set-B is not based on limited Tx capability.NOTE 2:Receiving S-SSB from all candidate synchronization carriers with the same sync reference from Set-B does not require simultaneous reception of S-SSB on all candidate synchronization carriers with the same sync reference from Set-B.,Band,No,N/A,N/A
"sl-DynamicSharingTxRx-r18Indicates whether the UE supports avoidance of NR PSCCH/PSSCH/PSFCH overlapping with EUTRA SL resources in dynamic resource pool sharing using LTE sidelink resource reservation information in NR mode2 resource (re)selection.The UE also supports NR sidelink TXs and RXs in a resource pool in 15kHz and 30kHz SCSs and uses the SCS that is (pre)configured for a SL BWP. This does not imply that two different SCSs can be (pre)configured simultaneously in a SL BWP.A UE supporting this feature shall also indicate support of sl-TransmissionMode2-r16, psfch-FormatZeroSidelink-r16 and short-term time-scale TDM for in-device coexistence.",Band,No,N/A,N/A
"sl-openLoopPC-RSRP-ReportSidelink-r16Indicates whether UE supports sidelink pathloss based open loop power control and RSRP report in case of unicast.This field is only applicable if the UE supports sl-Reception-r16 and at least one of sl-TransmissionMode1-r16 and sl-TransmissionMode2-r16.Support of this feature is mandatory if UE supports NR sidelink, except for A2X services.",Band,CY,N/A,N/A
sl-PathlossBasedOLPC-SL-RSRP-Report-r18Indicates whether UE supports Open loop SL pathloss based power control for SL-PRS and associated PSCCH and SL RSRP report for dedicated resource pool for unicast transmissions.UE supporting this feature shall also support of at least one of sl-PRS-TxScheme1InDedicatedResourcePool-r18 or sl-PRS-TxScheme2InDedicatedResourcePool-r18.,Band,No,N/A,N/A
"sl-PRS-CommonProcCapabilityPerBand-r18Indicates the common SL-PRS processing capability per band, and comprises the following parameters:-maxSL-PRS-Bandwidth-r18 indicates the maximum SL PRS bandwidth in MHz in a resource pool for positioning, which is supported and reported by UE for SL-PRS measurement;-maxNumOfActiveSL-PRS-ResourcesInOneSlot-r18 indicates the maximum number of active SL PRS resources across all configured RPs in a slot assuming maximum SL PRS bandwidth in MHz, which is supported and reported by UE;-maxNumOfSlotsWithActiveSL-PRS-Resources-r18 indicates the maximum number of slots with active SL PRS resources across all configured RPs assuming maximum SL PRS bandwidth in MHz, which is supported and reported by UE;-minTimeAfterEndofSlotCarryActiveSL-PRS-Resources-r18 indicates the minimum time after the end of a slot carrying the active SL-PRS resource(s) assuming maximum number of symbols and maximum bandwidth for a UE to finish the SL-PRS resource and the associated PSCCH processing which is supported and reported by UE;NOTE:A SL PRS resource is considered as active starting at the end of the last symbol of the PSCCH carrying the SCI trigger and the occupancy is released at the end of timeline indicated minTimeAfterEndofSlotCarryActiveSL-PRS-Resources-r18.",Band,No,N/A,N/A
"sl-PRS-CongestionCtrl-r18Indicates whether UE supports SL-PRS congestion control in a dedicated resource pool, and is comprised of the following functional components:-Support reporting SL PRS CBR measurement to gNB when operating in mode 1 and mode 2 (NOTE 1);-Support adjusting its radio parameters based on SL PRS CBR measurement and SL PRS CR limit;This capability signalling indicates the congestion process time within which the UE can process SL PRS CBR and SL PRS CR. Value 'cpt1' denotes 2, 2, 4, 8 slots for 15, 30, 60, 120 kHz subcarrier spacing, value 'cpt2' denotes 2, 4, 8, 16 slots for 15, 30, 60, 120 kHz subcarrier spacing, and value 'cpt3' denotes 3, 6, 12, 24 slots for 15, 30, 60, 120 kHz subcarrier spacing.A UE supporting this feature shall also support sl-PRS-RxInDedicatedResourcePool-r18, and at least one of sl-PRS-TxScheme1InDedicatedResourcePool-r18 and sl-PRS-TxScheme2InDedicatedResourcePool-r18.NOTE:It is not required to be supported in a band indicated with only the PC5 interface in TS 38.101-1 [2] Table 5.2E.1-1.",Band,No,N/A,N/A
"sl-PRS-RxForBandWithSL-CA-r18Indicates whether UE supports SL PRS reception in a single carrier for a shared SL PRS resource pool and/or a dedicated SL PRS resource pool for a band configured with SL CA.UE supporting this feature shall also support sl-CA-Communication-r18, and one of sl-PRS-RxInSharedResourcePool-r18 or sl-PRS-RxInDedicatedResourcePool-r18.NOTE 1:In a shared SL PRS resource pool in a single SL carrier, Tx power control follows the rule defined for SL CA in NR Rel-18.NOTE 2:In a dedicated SL PRS resource pool in a single SL carrier when the slots (pre)configured for the dedicated SL PRS resource pool do not collide with the slots (pre)configured for any other resource pool or S-SSB resource(s) in other carriers.",Band,No,N/A,N/A
"sl-PRS-RxInDedicatedResourcePool-r18Indicates whether UE supports receiving SL-PRS in dedicated resource pool and receiving SCI format 1B.This field comprises the following parameters:-numOfSupportedRxPSCCH-PerSlot-r18 indicates the number of PSCCH UE can receive in a slot. value1 corresponds to floor (NRB /10 RBs), value2 corresponds to 2*floor (NRB /10 RBs). NRB is the number of RBs defined per channel bandwidth in TS 38.101-1 [2] Table 5.3.2-1 for FR1 and TS 38.101-2 [3] Table 5.3.2-1 for FR2.-supportedCP-TypeFor60kHzSCS-r18 indicates the supported CP type for 60 kHz SCS.UE supporting this feature shall also support sl-PRS-CommonProcCapabilityPerBand-r18.",Band,No,N/A,N/A
sl-PRS-RxInSharedResourcePool-r18Indicates whether UE supports receiving SL-PRS in shared resource pool and receiving SCI format 2D.A UE supporting this feature shall also support sl-PRS-CommonProcCapabilityPerBand-r18 and sl-Reception-r16 as specified in TS 38.331 [9].,Band,No,N/A,N/A
"sl-PRS-TxForBandWithSL-CA-r18Indicates whether UE supports SL PRS transmission in a single carrier for a shared SL PRS resource pool and/or a dedicated SL PRS resource pool for a band configured with SL CA.UE supporting this feature shall also support sl-CA-Communication-r18, and one of sl-PRS-TxInSharedResourcePool-r18, sl-PRS-TxScheme1InDedicatedResourcePool-r18, or sl-PRS-TxScheme2InDedicatedResourcePool-r18.NOTE 1:In a shared SL PRS resource pool in a single SL carrier: Tx power control follows the rule defined for SL CA in NR Rel-18.NOTE 2:In a dedicated SL PRS resource pool in a single SL carrier when the slots (pre)configured for the dedicated SL PRS resource pool do not collide with the slots (pre)configured for any other resource pool or S-SSB resource(s) in other carriers.",Band,No,N/A,N/A
"sl-PRS-TxInSharedResourcePool-r18Indicates whether UE supports transmitting SL-PRS in a shared resource pool, and is comprised of the following functional components:-Support transmitting SL-PRS in shared resource pool;-Support transmitting SCI format 2D;-Support downlink pathloss based open loop power control.The supported resource allocation modes are the same as for communication and signaled in sl-TransmissionMode1-r16 and sl-TransmissionMode2-r16.UE supporting this feature shall also support sl-TransmissionMode1-r16 or sl-TransmissionMode2-r16, and sl-PRS-RxInSharedResourcePool-r16.NOTE:If UE indicates support of p0-OLPC-Sidelink-r17, the range of P0 values associated with p0-OLPC-Sidelink-r17 is used for SL PRS transmission.",Band,No,N/A,N/A
"sl-PRS-TxRandomSelection-r18Indicates whether UE supports random selection in a dedicated resource pool, and is comprised of the following functional components:-Support transmitting SL-PRS and associated PSCCH using random selection in a dedicated resource pool;-Support DL pathloss based open loop power control when configured by NR Uu (NOTE 2).NOTE 1:Configuration by NR Uu is not required to be supported in a band indicated with only the PC5 interface in TS 38.101-1 [2] Table 5.2E.1-1.NOTE 2:It is not required to be supported in a band indicated with only the PC5 interface in TS 38.101-1 [2] Table 5.2E.1-1.",Band,No,N/A,N/A
"sl-PRS-TxScheme1InDedicatedResourcePool-r18Indicates whether UE supports transmitting SL-PRS scheme 1 in a dedicated resource pool, and is comprised of the following functional components:-Support transmitting SL-PRS and PSCCH within a slot without PSSCH in dedicated resource pool;-Support transmitting SL-PRS according to the mapping rule between PSCCH and SL-PRS;-Support transmitting SCI format 1B;-Support receiving DCI format 3_2;-Support downlink pathloss based open loop power control of SL-PRS (NOTE 1).UE supporting this feature shall also support sl-PRS-RxInDedicatedResourcePool-r18.NOTE:It is not required to be supported in a band indicated with only the PC5 interface in TS 38.101-1 [2] Table 5.2E.1-1.",Band,No,N/A,N/A
"sl-PRS-TxScheme2InDedicatedResourcePool-r18Indicates whether UE supports transmitting SL-PRS scheme 2 in a dedicated resource pool, and is comprised of the following functional components:-Support transmitting SL-PRS and PSCCH within a slot without PSSCH in dedicated resource pool;-Support transmitting SL-PRS according to the mapping rule between PSCCH and SL-PRS;-Support transmitting SCI format 1B.UE supporting this feature shall also support of at least one of sl-PRS-TxRandomSelection-r18 or sl-PRS-TxUsingFullSensing-r18.",Band,No,N/A,N/A
"sl-PRS-TxUsingFullSensing-r18Indicates whether UE supports full sensing in a dedicated resource pool, and is comprised of the following functional components:-UE can transmit SL-PRS and associated PSCCH using full sensing;-Support DL pathloss based open loop power control when configured by NR Uu.This capability also indicates the number of PSCCH UE can receive in a slot. Value 'value1' corresponds to floor (NRB /10 RBs), value 'value2' corresponds to 2*floor (NRB /10 RBs). NRB is the number of RBs defined per channel bandwidth by RAN4 in TS 38.101-1 [2] Table 5.3.2-1 for FR1 and TS 38.101-2 [3] Table 5.3.2-1 for FR2.NOTE 1:Configuration by NR Uu is not required to be supported in a band indicated with only the PC5 interface in TS 38.101-1 [2] Table 5.2E.1-1.NOTE 2:Component 2 is not required to be supported in a band indicated with only the PC5 interface in TS 38.101-1 [2] Table 5.2E.1-1.NOTE 3:UE supporting this feature also support receiving SCI format 1B.",Band,No,N/A,N/A
"sl-ReceptionIntraCarrierGuardBand-r18Indicates whether the UE supports reception in the non-zero intra-cell guardband between contiguous RB sets in SL wideband carrier operation wider than 20MHz when LBT is successful only in a subset of RB sets, where intra-cell guardband is specified in TS 38.101-1 [2].",Band,No,N/A,FR1 only
"sl-Reception-r16Indicates whether receiving NR sidelink communication is supported. If supported, this parameter indicates the support of the capabilities and includes the parameters as follows:-UE can receive NR PSCCH/PSSCH.-harq-RxProcessSidelink, which indicates the number of sidelink HARQ processes across all links that the UE supports for NR PSSCH reception. Value n16 corresponds to 16, n24 corresponds to 24, and so on.-pscch-RxSidelink, which indicates the number of PSCCH that the supports for reception in a slot. Value value1 corresponds to floor (NRB /10 RBs), value2 corresponds to 2*floor (NRB /10 RBs);-UE can attempt to decode NRB non-overlapping RBs per slot.-UE supports reception of PSSCH according to the 64QAM MCS table.-UE supports PT-RS reception in FR2.-scs-CP-PatternRxSidelink, which indicates the subcarrier spacing with normal CP and the corresponding channel bandwidth that the UE supports for NR sidelink communication reception. Value scs-15kHz corresponds to 15kHz, scs-30kHz corresponds to 30kHz, and so on. It is mandatory for UE to support reception using 30 kHz subcarrier spacing with normal CP in FR1, and 120 kHz subcarrier spacing with normal CP FR2. For FR1, the bits in scs-XXkHz starting from the leading / leftmost bit indicate 5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90 and 100MHz. For FR2, the bits in scs-XXkHz starting from the leading / leftmost bit indicate 50, 100 and 200MHz. This capability is not required to be signalled in a band indicated with only the PC5 interface in TS 38.101-1 [2], Table 5.2E.1-1. Otherwise, it is mandatory. For a band indicated with only the PC5 interface in 38.101-1 [2], Table 5.2E.1-1, UE supports reception using 30 kHz subcarrier spacing with normal CP in FR1, 120 kHz subcarrier spacing with normal CP in FR2.-extendedCP-RxSidelink, which indicates whether the UE supports 60 kHz subcarrier spacing with extended CP length for NR sidelink communication reception. This capability is not required to be signalled in a band indicated with only the PC5 interface in TS 38.101-1 [2], Table 5.2E.1-1. Otherwise, it is mandatory.-UE supports 14-symbol SL slot with all DMRS patterns corresponding to number of PSSCH symbols = {12, 9} for slots with and without PSFCH. If UE signals support of extended CP, support 12-symbol SL slot with all DMRS patterns corresponding to number of PSSCH symbols = {10,7} for slots with and without PSFCH.NOTE 1:NRB is the number of RBs defined per channel bandwidth by RAN4 in TS 38.101-1 [2], Table 5.3.2-1 for FR1 and TS 38.101-2 [3], Table 5.3.2.-1 for FR2.NOTE 2:Configuration by NR Uu is not required to be supported in a band indicated with only the PC5 interface in TS 38.101-1 [2] Table 5.2E.1-1.Support of this feature is mandatory if UE supports NR sidelink.If a band is included in supportedBandCombinationListSL-NonRelayDiscovery-r17, supportedBandCombinationListSL-RelayDiscovery-r17 or supportedBandCombinationListSL-U2U-RelayDiscovery-r18, it indicates whether receiving non-relay/relay NR sidelink discovery is supported.",Band,CY,N/A,N/A
sl-Rx-256QAM-r16Indicates UE can receive PSSCH according to the 256QAM MCS table.This field is only applicable if the UE supports sl-Reception-r16.,Band,No,N/A,FR1 only
"sl-TransmissionMode1-r16Indicates whether transmitting NR sidelink mode 1 scheduled by Uu is supported. If supported, this parameter indicates the support of the capabilities and includes the parameters as follows:-UE can transmit PSCCH/PSSCH using configured grant type 1. For NR sidelink mode 1 scheduled by NR Uu, UE can additionally transmit PSCCH/PSSCH using dynamic scheduling or configured grant type 2. Up to 8 configured grants can be configured for a UE.-harq-TxProcessModeOneSidelink, which indicates the number of sidelink HARQ processes across all links that the UE supports for NR PSSCH transmission using mode 1, including those for configured grants. Value n8 corresponds to 8, n16 corresponds to 16, and so on.-UE can transmit PSSCH according to the normal 64QAM MCS OFDM table.-UE supports PT-RS transmission in FR2.-For NR sidelink mode 1 scheduled by NR Uu, UE can monitor DCI format 3_0 for NR sidelink dynamic scheduling and configured grant type 2 on the same carrier as sidelink.-scs-CP-PatternTxSidelinkModeOne, which indicates the subcarrier spacing with normal CP and the corresponding bandwidth that the UE supports for NR sidelink communication transmission using NR sidelink mode 1. Value scs-15kHz corresponds to 15kHz, scs-30kHz corresponds to 30kHz, and so on. For FR1, the bits in scs-XXkHz starting from the leading / leftmost bit indicate 5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90 and 100MHz. For FR2, the bits in scs-XXkHz starting from the leading / leftmost bit indicate 50, 100 and 200MHz. For a band indicated with only the PC5 interface in TS 38.101-1 [2], Table 5.2E.1-1, UE supports transmission using at least 30 kHz subcarrier spacing with normal CP in FR1, at least 120 kHz subcarrier spacing with normal CP in FR2. Otherwise, the reported subcarrier spacing with normal CP and the corresponding bandwidth that the UE supports shall be the same as reported for UL via channelBWs-UL.-extendedCP-TxSidelink, which indicates whether the UE supports 60 kHz subcarrier spacing with extended CP length for NR sidelink communication transmission using mode 1. For a band indicated with only the PC5 interface in TS 38.101-1 [2], Table 5.2E.1-1, the reported subcarrier spacing with normal CP and the corresponding bandwidth that the UE supports shall be the same as reported for UL via channelBWs-UL.-UE supports 14-symbol SL slot with all DMRS patterns corresponding to the number of PSSCH symbols = {12, 9} for slots with and without PSFCH. If UE signals support of extended CP, support 12-symbol SL slot with all DMRS patterns corresponding to the number of PSSCH symbols = {10,7} for slots with and without PSFCH.-UE supports downlink pathloss based open loop power control for NR sidelink mode 1 scheduled by NR Uu if the band is not indicated with only the PC5 interface in TS 38.101-1 [2], Table 5.2E.1-1. Otherwise, it is not supported.-harq-ReportOnPUCCH, which indicates whether UE supports reporting sidelink HARQ-ACK to gNB via PUCCH and PUSCH when it is operating in NR sidelink mode 1, for NR sidelink mode 1 scheduled by NR Uu, if the band is indicated with only the PC5 interface in TS 38.101-1 [2], Table 5.2E.1-1. Otherwise, it is mandatory.NOTE:Random selection in the exceptional pool is supported.Support of this feature is mandatory if UE supports NR sidelink in licensed spectrum where gNB is operating on or managing that spectrum, except for A2X services.If a band is included in supportedBandCombinationListSL-NonRelayDiscovery-r17, supportedBandCombinationListSL-RelayDiscovery-r17 or supportedBandCombinationListSL-U2U-RelayDiscovery-r18,, it indicates whether receiving non-relay/relay NR sidelink discovery is supported.",Band,CY,N/A,N/A
"sl-TransmissionMode2-r16Indicates whether transmitting NR sidelink mode 2 is supported. If supported, this parameter indicates the support of the capabilities and includes the parameters as follows:-UE can transmit PSCCH/PSSCH using NR sidelink mode 2 configured by NR Uu or preconfiguration.-harq-TxProcessModeTwoSidelink, which indicates the number of sidelink HARQ processes across all links that the UE supports for NR PSSCH transmission using mode 2. Value n8 corresponds to 8, n16 corresponds to 16.-UE can transmit PSSCH according to the normal 64QAM MCS table.-UE supports PT-RS transmission in FR2.-UE can perform mode 2 sensing and resource allocation operations-scs-CP-PatternTxSidelinkModeTwo, which indicates UE can transmit using the subcarrier spacing and CP length it reports in sl-Reception-r16. This capability is not required to be signalled in a band indicated with only the PC5 interface in TS 38.101-1 [2], Table 5.2E.1-1. Otherwise, it is mandatory. For a band indicated with only the PC5 interface in TS 38.101-1 [2], Table 5.2E.1-1, UE supports transmission using 30 kHz subcarrier spacing with normal CP in FR1, 120 kHz subcarrier spacing with normal CP in FR2.-UE supports 14-symbol SL slot with all DMRS patterns corresponding to the number of PSSCH symbols = {12, 9} for slots with and without PSFCH. If UE signals support of extended CP, support 12-symbol SL slot with all DMRS patterns corresponding to the number of PSSCH symbols = {10,7} for slots with and without PSFCH.-dl-openLoopPC-Sidelink, which indicates whether UE supports DL pathloss based open loop power control when mode 2 is configured by NR Uu, if the band is indicated with only the PC5 interface in TS 38.101-1 [2], Table 5.2E.1-1. Otherwise, it is mandatory.This field is only applicable if the UE supports sl-Reception-r16.NOTE 1:Random selection in the exceptional pool is supported.NOTE 2:Configuration by NR Uu is not required to be supported in a band indicated with only the PC5 interface in TS 38.101-1 [2] Table 5.2E.1-1.Support of this feature is mandatory if UE supports NR sidelink.",Band,CY,N/A,N/A
