Definitions for parameters,Per,M,FDD-TDD DIFF,FR1-FR2 DIFF
"initialAccessSSB-480kHz-r17Indicates whether the UE supports 480kHz SSB for initial access in FR2-2.UE indicating support of this feature shall also indicate support of initialAccessSSB-120kHz-r17, dl-FR2-2-SCS-480kHz-r17 and ul-FR2-2-SCS-480kHz-r17.",Band,No,N/A,N/A
multiPDSCH-SingleDCI-FR2-2-SCS-120kHz-r17Indicates whether the UE supports multi-PDSCH scheduling by single DCI for the operation with 120 kHz SCS in FR2-2 and HARQ enhancements for both type 1 and type 2 HARQ codebook.UE indicating support of this feature shall also indicate support of dl-FR2-2-SCS-120kHz-r17.,Band,No,N/A,N/A
multiPUSCH-SingleDCI-FR2-2-SCS-120kHz-r17Indicates whether the UE supports multi-PUSCH scheduling by single DCI for the operation with 120 kHz SCS in FR2-2.UE indicating support of this feature shall also indicate support of ul-FR2-2-SCS-120kHz-r17.,Band,No,N/A,N/A
multiRB-PUCCH-SCS-120kHz-r17Indicates whether the UE supports multi-RB PUCCH format 0/1/4 for 120kHz SCS. This feature is only applicable when PSD limitation applies within FR2-2 based on the regional regulations.UE indicating support of this feature shall also indicate support of ul-FR2-2-SCS-120kHz-r17.,Band,No,N/A,N/A
multiRB-PUCCH-SCS-480kHz-r17Indicates whether the UE supports multi-RB PUCCH format 0/1/4 for 480kHz SCS. This feature is only applicable when PSD limitation applies within FR2-2 based on the regional regulations.UE indicating support of this feature shall also indicate support of ul-FR2-2-SCS-480kHz-r17.,Band,No,N/A,N/A
multiRB-PUCCH-SCS-960kHz-r17Indicates whether the UE supports multi-RB PUCCH format 0/1/4 for 960kHz SCS. This feature is only applicable when PSD limitation applies within FR2-2 based on the regional regulations.UE indicating support of this feature shall also indicate support of ul-FR2-2-SCS-960kHz-r17.,Band,No,N/A,N/A
"reduced-BeamSwitchTiming-FR2-2-r17Indicates whether the UE supports reduced beam switching time delay d = 56 symbols for 480 kHz SCS as specified in TS 38.214 [12], clause 5.2.1.5.1a.If this capability is not reported and the UE supports both dl-FR2-2-SCS-480kHz-r17 and dl-FR2-2-SCS-960kHz-r17, the default value of 112 symbols is assumed.",Band,No,N/A,N/A
support32-DL-HARQ-ProcessPerSCS-r17Indicates whether the UE supports 32 HARQ processes in DL for each SCS in FR2-2 (i.e. SCS 120kHz/480kHz/960kHz).A UE supporting 32 HARQ processes for 480/960 kHz SCS for DL shall support 32 as the maximum number of HARQ processes for 120 kHz SCS for DL in FR2-2. UE indicating support of this feature shall indicate support of dl-FR2-2-SCS-120kHz-r17.,Band,No,N/A,N/A
support32-UL-HARQ-ProcessPerSCS-r17Indicates whether the UE supports 32 HARQ processes in UL for each SCS in FR2-2 (i.e. SCS 120kHz/480kHz/960kHz).A UE supporting 32 HARQ processes for 480/960 kHz SCS for UL shall support 32 as the maximum number of HARQ processes for 120 kHz SCS for UL in FR2-2. UE indicating support of this feature shall indicate support of dl-FR2-2-SCS-120kHz-r17.,Band,No,N/A,N/A
"type1-ChannelAccess-FR2-2-r17Indicates whether the UE supports Type 1 channel access procedure in uplink for FR2-2 with shared spectrum channel access and supports LBT performed per channel, as defined in TS 37.213 [32], clause 4.4.UE indicating support of this feature shall also indicate support of ul-FR2-2-SCS-120kHz-r17. It is mandatory for UE supporting FR2-2 frequency band to indicate this when required by regulation.",Band,CY,N/A,N/A
"type2-ChannelAccess-FR2-2-r17Indicates whether the UE supports Type 2 channel access procedure in uplink for FR2-2 with shared spectrum channel access and supports LBT performed per channel, as defined in TS 37.213 [32], clause 4.4.UE indicating support of this feature shall also indicate support of ul-FR2-2-SCS-120kHz-r17 and type1-ChannelAccess-FR2-2-r17. It is mandatory for UE supporting FR2-2 frequency band to indicate this when required by regulation.",Band,CY,N/A,N/A
"widebandPRACH-SCS-120kHz-r17Indicates whether the UE supports enhanced PRACH design for operation by adopting a single long ZC sequence, with ZC sequence equal to 1151 and 571 for 120kHz SCS.This feature is only applicable when PSD limitation applies within FR2-2 based on the regional regulations.UE indicating support of this feature shall also indicate support of ul-FR2-2-SCS-120kHz-r17.",Band,No,N/A,N/A
widebandPRACH-SCS-480kHz-r17Indicates whether the UE supports enhanced PRACH design for operation with ZC sequence equal to 571 for 480kHz SCS.This feature is only applicable when PSD limitation applies within FR2-2 based on the regional regulations.UE indicating support of this feature shall also indicate support of ul-FR2-2-SCS-480kHz-r17.,Band,No,N/A,N/A
