topic,rat,spec,release,version_package,inner_files,official_url,zip_size_bytes,sha256
总体架构,LTE,TS 36.300,Rel-19,36300-j10.zip,36300-j10.docx,https://www.3gpp.org/ftp/Specs/archive/36_series/36.300/36300-j10.zip,10102639,f0088301e7024d779fb988f773c86950e5415d66e4f862e074beb3aeef4ada56
总体架构,NR,TS 38.300,Rel-19,38300-j20.zip,38300-j20.docx,https://www.3gpp.org/ftp/Specs/archive/38_series/38.300/38300-j20.zip,7874648,214311b6f5992c0144fe3963c5c107edcae3903ffda06971c068a21aa3891a7d
UE 能力,LTE,TS 36.306,Rel-19,36306-j20.zip,36306-j20.docx,https://www.3gpp.org/ftp/Specs/archive/36_series/36.306/36306-j20.zip,527920,aedfb67842b488bfc1517ef4f5ce66f7afa3731d58f425877c48426990378bd0
UE 能力,NR,TS 38.306,Rel-19,38306-j20.zip,38306-j20.docx,https://www.3gpp.org/ftp/Specs/archive/38_series/38.306/38306-j20.zip,1252503,bddd936fe6a3658ffae1ee110a2b0b0042f6ce0f822f26fa07918c40fc38c2d3
MAC,LTE,TS 36.321,Rel-19,36321-j20.zip,36321-j20.docx,https://www.3gpp.org/ftp/Specs/archive/36_series/36.321/36321-j20.zip,2166663,6b1b642dd348fbc743ab8f77fa95d9f99630f67ed41de574eead3de739cad31e
MAC,NR,TS 38.321,Rel-19,38321-j20.zip,38321-j20.docx,https://www.3gpp.org/ftp/Specs/archive/38_series/38.321/38321-j20.zip,3249493,5834183c304f2b01b0ab5805501c77b9a1daeb179b3935ac7ed9a01714a682ab
RLC,LTE,TS 36.322,Rel-19,36322-j00.zip,36322-j00.docx,https://www.3gpp.org/ftp/Specs/archive/36_series/36.322/36322-j00.zip,1500210,02f39b57c91c572549c6b95ed920456e03cc0e71085c53ed30c25197e9327e6f
RLC,NR,TS 38.322,Rel-19,38322-j20.zip,38322-j20.docx,https://www.3gpp.org/ftp/Specs/archive/38_series/38.322/38322-j20.zip,771002,a45ee8a900b0005d85d78918296aaf36feffc7206a171ff247b83f335100f065
PDCP,LTE,TS 36.323,Rel-19,36323-j00.zip,36323-j00.docx,https://www.3gpp.org/ftp/Specs/archive/36_series/36.323/36323-j00.zip,991451,23f8d8d1e251feef7c0e87b7f834725aa0e36e3a38babb8381768a28874e6d6d
PDCP,NR,TS 38.323,Rel-19,38323-j10.zip,38323-j10.docx,https://www.3gpp.org/ftp/Specs/archive/38_series/38.323/38323-j10.zip,958627,22912a94c0e6b7ddd8cdafd3de2994bbb1ddfb704bb72d409fab8e168a7844c2
RRC,LTE,TS 36.331,Rel-19,36331-j21.zip,36331-j21.docx,https://www.3gpp.org/ftp/Specs/archive/36_series/36.331/36331-j21.zip,3827861,efe84a99b2016b97f55aafc2a6af00a4da0a5eae56e77d678631ddf8a1068429
RRC,NR,TS 38.331,Rel-19,38331-j20.zip,38331-j20.docx,https://www.3gpp.org/ftp/Specs/archive/38_series/38.331/38331-j20.zip,4593441,2ea3c13011abc11554201fc85d6e0b281bcbf617fbee0caa41307d0d33556e78
